bar_code,Family,Genus,species,X,Y,value,variable_id
P717416,Lecythidaceae,Eschweilera,coriacea,7,21,81.93499533092822,10
P717416,Lecythidaceae,Eschweilera,coriacea,7,21,8.75520287674712,11
P525483,Lecythidaceae,Eschweilera,coriacea,92,97,11.110037454386536,1
P525483,Lecythidaceae,Eschweilera,coriacea,92,97,224.6218860594739,2
P525483,Lecythidaceae,Eschweilera,coriacea,92,97,2.482977739444714,3
P525483,Lecythidaceae,Eschweilera,coriacea,92,97,81.70560957771163,9
P525483,Lecythidaceae,Eschweilera,coriacea,92,97,109.38623799704487,10
P525483,Lecythidaceae,Eschweilera,coriacea,92,97,7.85208236916003,11
P847735,Lecythidaceae,Eschweilera,coriacea,88.5,93.5,15.161676627196446,1
P847735,Lecythidaceae,Eschweilera,coriacea,88.5,93.5,216.4988149490129,2
P847735,Lecythidaceae,Eschweilera,coriacea,88.5,93.5,2.047320572269613,3
P847735,Lecythidaceae,Eschweilera,coriacea,88.5,93.5,70.17114126907391,9
P847735,Lecythidaceae,Eschweilera,coriacea,88.5,93.5,55.81300138891938,10
P847735,Lecythidaceae,Eschweilera,coriacea,88.5,93.5,10.046722694025592,11
P505103,Lecythidaceae,Eschweilera,coriacea,19,45.5,33.63118887395219,1
P505103,Lecythidaceae,Eschweilera,coriacea,19,45.5,272.3468579517041,2
P505103,Lecythidaceae,Eschweilera,coriacea,19,45.5,2.3666445529793605,3
P505103,Lecythidaceae,Eschweilera,coriacea,19,45.5,90.63950152457299,9
P505103,Lecythidaceae,Eschweilera,coriacea,19,45.5,78.71370156974955,10
P505103,Lecythidaceae,Eschweilera,coriacea,19,45.5,8.244516307638143,11
P581885,Lecythidaceae,Eschweilera,coriacea,4,60,24.33831064094496,1
P581885,Lecythidaceae,Eschweilera,coriacea,4,60,217.64532417544328,2
P581885,Lecythidaceae,Eschweilera,coriacea,4,60,1.9149898023867675,3
P581885,Lecythidaceae,Eschweilera,coriacea,4,60,82.72607272303166,9
P581885,Lecythidaceae,Eschweilera,coriacea,4,60,45.09315788843034,10
P581885,Lecythidaceae,Eschweilera,coriacea,4,60,9.70063580607561,11
P899295,Lecythidaceae,Eschweilera,coriacea,36,37,15.547208552285994,1
P899295,Lecythidaceae,Eschweilera,coriacea,36,37,218.36680576813814,2
P899295,Lecythidaceae,Eschweilera,coriacea,36,37,2.028523058987773,3
P899295,Lecythidaceae,Eschweilera,coriacea,36,37,83.35255723000276,9
P899295,Lecythidaceae,Eschweilera,coriacea,36,37,85.07641085560108,10
P899295,Lecythidaceae,Eschweilera,coriacea,36,37,13.644438158044045,11
P404821,Lecythidaceae,Eschweilera,coriacea,33,18.5,14.007062141856371,1
P404821,Lecythidaceae,Eschweilera,coriacea,33,18.5,201.1259331598845,2
P404821,Lecythidaceae,Eschweilera,coriacea,33,18.5,1.4741185462358732,3
P404821,Lecythidaceae,Eschweilera,coriacea,33,18.5,79.38447679879727,9
P404821,Lecythidaceae,Eschweilera,coriacea,33,18.5,107.23899780288228,10
P404821,Lecythidaceae,Eschweilera,coriacea,33,18.5,10.542878231173459,11
P443890,Lecythidaceae,Eschweilera,coriacea,44,63,20.084261844003983,1
P443890,Lecythidaceae,Eschweilera,coriacea,44,63,199.32040932718675,2
P443890,Lecythidaceae,Eschweilera,coriacea,44,63,1.6699319108977093,3
P443890,Lecythidaceae,Eschweilera,coriacea,44,63,67.31791317802885,9
P443890,Lecythidaceae,Eschweilera,coriacea,44,63,103.7919228565193,10
P443890,Lecythidaceae,Eschweilera,coriacea,44,63,11.164716095020482,11
P181616,Lecythidaceae,Eschweilera,coriacea,14,24,16.460112009725812,1
P181616,Lecythidaceae,Eschweilera,coriacea,14,24,214.12444604174019,2
P181616,Lecythidaceae,Eschweilera,coriacea,14,24,1.631397166558389,3
P181616,Lecythidaceae,Eschweilera,coriacea,14,24,57.01996453665937,9
P181616,Lecythidaceae,Eschweilera,coriacea,14,24,101.40755466238403,10
P181616,Lecythidaceae,Eschweilera,coriacea,14,24,11.31077217771141,11
P653848,Lecythidaceae,Eschweilera,coriacea,29,42,33.40669295741358,1
P653848,Lecythidaceae,Eschweilera,coriacea,29,42,216.1643832711722,2
P653848,Lecythidaceae,Eschweilera,coriacea,29,42,1.7683715527763093,3
P653848,Lecythidaceae,Eschweilera,coriacea,29,42,83.01926748461365,9
P653848,Lecythidaceae,Eschweilera,coriacea,29,42,87.29832464517823,10
P653848,Lecythidaceae,Eschweilera,coriacea,29,42,8.391360894918284,11
P202523,Lecythidaceae,Eschweilera,coriacea,9,84,22.114213242803668,1
P202523,Lecythidaceae,Eschweilera,coriacea,9,84,202.1620242264619,2
P202523,Lecythidaceae,Eschweilera,coriacea,9,84,1.9012391431959839,3
P202523,Lecythidaceae,Eschweilera,coriacea,9,84,86.74038217664356,9
P202523,Lecythidaceae,Eschweilera,coriacea,9,84,77.35261132383431,10
P202523,Lecythidaceae,Eschweilera,coriacea,9,84,10.320052904881475,11
P253665,Lecythidaceae,Eschweilera,coriacea,61,3,46.58296758183696,1
P253665,Lecythidaceae,Eschweilera,coriacea,61,3,207.09506860409326,2
P253665,Lecythidaceae,Eschweilera,coriacea,61,3,1.4286363007573657,3
P253665,Lecythidaceae,Eschweilera,coriacea,61,3,68.0310024968861,9
P253665,Lecythidaceae,Eschweilera,coriacea,61,3,77.4078436669029,10
P253665,Lecythidaceae,Eschweilera,coriacea,61,3,11.192957309046163,11
P963812,Lecythidaceae,Eschweilera,coriacea,64,41,13.501758263620278,1
